Catchment ID,River,Station,Country,Latitude,Longitude,Catchment Area,Altitude,Number of Years
5204450,BARWON RIVER,BREWARRINA,AU,-29.9472,146.864,297850,13,130
4152660,DOLORES RIVER,"NEAR CISCO, UT",US,38.7972,-109.1951,11862.2,1269.49,73
4115410,SAINT JOE CREEK,"CALDER, ID",US,47.2749,-116.1885,2667.7,639.09,113
1160410,BENEKERIVIER,PINE GROVE FOREST (27692902),ZA,-33.935278,22.130556,4,401,65
1159900,KLIPRIVIER,DELANGESDRIFT,ZA,-27.169444,29.233056,4152,-999,117
4123208,BIG BLUE RIVER,"SHELBYVILLE, IN",US,39.5292,-86.7819,1090.4,224.84,81
5863210,TARAWERA RIVER,LAKE OUTLET RECORDER,NZ,-38.17637005,176.5078215,186.7,302.1,52
4125200,POTEAU RIVER,"NEAR PANAMA, OK",US,35.1657,-94.653,4576.5,118.25,35
6233222,TANNAN,LILLGLAEN,SE,62.6386,12.1278,64.6,-999,89
4119461,MINNESOTA RIVER,"MONTEVIDEO, MN",US,44.9333,-95.7336,16006.2,277.1,114
4106600,TAKU RIVER,"NEAR JUNEAU, AK",US,58.54,-133.7,17094,15.24,36
5867350,KARAMEA RIVER,GORGE,NZ,-41.25420479,172.2201884,1160,37.9,55
5867200,AORERE RIVER,DEVILS BOOTS,NZ,-40.74597201,172.6272018,573,38.7,47
4121340,LITTLE SIOUX RIVER,"CORRECTIONVILLE, IA",US,42.4722,-95.7972,6475,334.21,105
6503852,RIVER BOYNE,NAVAN WEIR,IE,53.64355944,-6.6720575,1610,33.02,46
1159301,ORANGE RIVER,PRIESKA (27815102),ZA,-29.651667,22.745833,339310,947,64
4125801,ARKANSAS RIVER,ARKANSAS CITY,US,37.0564,-97.0592,113216.7,320.05,122
6456120,SLUPIA,SLUPSK,PL,54.47,17.03138889,1451.69,12.683,72
4147950,RAPPAHANNOCK RIVER,"NEAR FREDERICKSBURG, VA",US,38.3085,-77.5292,4133.6,-999,117
4116311,CLEARWATER RIVER,"NEAR CANYON RANGER STATION, ID (NF)",US,46.8405,-115.6507,3522.4,505.97,56
4208562,HALFWAY RIVER,ABOVE GRAHAM RIVER,CA,56.508335,-122.24111,3780,-999,45
6233610,RONNE A,FORSMOLLAN,SE,56.1178,13.165,953.4,-999,37
6233740,STORUMAN,STORUMAN,SE,65.0946,17.1007,6692.6,-999,64
6233235,BREDAKAERRSBAECKEN,KOEPINGE,SE,55.9454,14.136,1.8,-999,65
3276150,RIO GUALJAINA,GUALJAINA,AR,-42.7,-70.53,2800,510,66
6605575,RIVER NIDD,HUNSINGORE WEIR,GB,53.97122548,-1.348981657,484.3,18.1,87
1160393,KANDELAARSRIVIER,PAARDENDRIFT (27693317),ZA,-33.679167,22.14,351,278,54
6172351,NARVA JOGI,VASKNARVA,EE,59.000833,27.740278,47800,29,120
1160985,MPAMBANYONI,UMBELI BELLI,ZA,-30.27402778,30.69602778,378.8,-999,36
4214560,NORTH FRENCH RIVER,NEAR THE MOUTH,CA,51.083332,-80.76667,6680,15,56
5866230,HAKATARAMEA RIVER,ABOVE MAIN HIGHWAY BRIDGE,NZ,-44.72479659,170.4905531,899,212.5,60
4146180,EEL RIVER,"SCOTIA, CALIF.",US,40.4915,-124.0998,8062.7,10.82,113
